,year,genres,total_films,norm_per_year
319,1992,Western,1,0.010526315789473684
320,1993,Action,17,0.12408759124087591
321,1993,Adventure,13,0.0948905109489051
322,1993,Comedy,14,0.10218978102189781
323,1993,Crime,8,0.058394160583941604
324,1993,Drama,26,0.1897810218978102
325,1993,Family,8,0.058394160583941604
326,1993,Fantasy,10,0.072992700729927
327,1993,History,3,0.021897810218978103
328,1993,Horror,3,0.021897810218978103
329,1993,Music,2,0.014598540145985401
330,1993,Romance,11,0.08029197080291971
331,1993,Science Fiction,7,0.051094890510948905
332,1993,Thriller,12,0.08759124087591241
333,1993,War,2,0.014598540145985401
334,1993,Western,1,0.0072992700729927005
335,1994,Action,21,0.14788732394366197
336,1994,Adventure,9,0.06338028169014084
337,1994,Comedy,26,0.18309859154929578
338,1994,Crime,13,0.09154929577464789
339,1994,Drama,20,0.14084507042253522
340,1994,Family,6,0.04225352112676056
341,1994,Fantasy,9,0.06338028169014084
342,1994,History,1,0.007042253521126761
343,1994,Horror,3,0.02112676056338028
359,1994,Music,0,0.0
344,1994,Romance,9,0.06338028169014084
345,1994,Science Fiction,4,0.028169014084507043
346,1994,Thriller,18,0.1267605633802817
347,1994,War,2,0.014084507042253521
348,1994,Western,1,0.007042253521126761
349,1995,Action,25,0.13157894736842105
350,1995,Adventure,11,0.05789473684210526
351,1995,Comedy,23,0.12105263157894737
352,1995,Crime,20,0.10526315789473684
353,1995,Drama,37,0.19473684210526315
354,1995,Family,6,0.031578947368421054
355,1995,Fantasy,8,0.042105263157894736
356,1995,History,3,0.015789473684210527
357,1995,Horror,6,0.031578947368421054
358,1995,Music,1,0.005263157894736842
359,1995,Romance,17,0.08947368421052632
360,1995,Science Fiction,5,0.02631578947368421
361,1995,Thriller,24,0.12631578947368421
362,1995,War,3,0.015789473684210527
363,1995,Western,1,0.005263157894736842
364,1996,Action,22,0.08906882591093117
365,1996,Adventure,14,0.05668016194331984
366,1996,Comedy,37,0.14979757085020243
367,1996,Crime,17,0.06882591093117409
368,1996,Drama,57,0.23076923076923078
369,1996,Family,8,0.032388663967611336
370,1996,Fantasy,10,0.04048582995951417
371,1996,History,4,0.016194331983805668
372,1996,Horror,6,0.024291497975708502
373,1996,Music,4,0.016194331983805668
374,1996,Romance,21,0.08502024291497975
375,1996,Science Fiction,9,0.03643724696356275
376,1996,Thriller,36,0.145748987854251
377,1996,War,2,0.008097165991902834
368,1996,Western,0,0.0
378,1997,Action,37,0.12758620689655173
379,1997,Adventure,23,0.07931034482758621
380,1997,Comedy,38,0.1310344827586207
381,1997,Crime,24,0.08275862068965517
382,1997,Drama,53,0.18275862068965518
383,1997,Family,9,0.03103448275862069
384,1997,Fantasy,10,0.034482758620689655
385,1997,History,3,0.010344827586206896
386,1997,Horror,10,0.034482758620689655
387,1997,Music,2,0.006896551724137931
388,1997,Romance,21,0.07241379310344828
389,1997,Science Fiction,19,0.06551724137931035
390,1997,Thriller,41,0.1413793103448276
193,1997,War,0,0.0
188,1997,Western,0,0.0
391,1998,Action,25,0.078125
392,1998,Adventure,21,0.065625
393,1998,Comedy,61,0.190625
394,1998,Crime,20,0.0625
395,1998,Drama,76,0.2375
396,1998,Family,14,0.04375
397,1998,Fantasy,13,0.040625
398,1998,History,4,0.0125
399,1998,Horror,9,0.028125
400,1998,Music,4,0.0125
401,1998,Romance,31,0.096875
402,1998,Science Fiction,13,0.040625
403,1998,Thriller,25,0.078125
404,1998,War,4,0.0125
293,1998,Western,0,0.0
405,1999,Action,25,0.06329113924050633
406,1999,Adventure,13,0.03291139240506329
407,1999,Comedy,84,0.21265822784810126
408,1999,Crime,24,0.060759493670886074
409,1999,Drama,91,0.23037974683544304
410,1999,Family,15,0.0379746835443038
411,1999,Fantasy,11,0.027848101265822784
412,1999,History,5,0.012658227848101266
413,1999,Horror,15,0.0379746835443038
414,1999,Music,4,0.010126582278481013
415,1999,Romance,42,0.10632911392405063
416,1999,Science Fiction,20,0.05063291139240506
417,1999,Thriller,39,0.09873417721518987
418,1999,War,3,0.007594936708860759
419,1999,Western,4,0.010126582278481013
420,2000,Action,40,0.09828009828009827
421,2000,Adventure,24,0.05896805896805897
422,2000,Comedy,70,0.171990171990172
423,2000,Crime,29,0.07125307125307126
424,2000,Drama,81,0.19901719901719903
425,2000,Family,20,0.04914004914004914
426,2000,Fantasy,11,0.02702702702702703
427,2000,History,1,0.002457002457002457
428,2000,Horror,13,0.03194103194103194
429,2000,Music,7,0.0171990171990172
430,2000,Romance,39,0.09582309582309582
431,2000,Science Fiction,18,0.044226044226044224
432,2000,Thriller,48,0.11793611793611794
433,2000,War,3,0.007371007371007371
434,2000,Western,3,0.007371007371007371
435,2001,Action,53,0.11496746203904555
436,2001,Adventure,27,0.05856832971800434
437,2001,Comedy,85,0.1843817787418655
438,2001,Crime,34,0.0737527114967462
439,2001,Drama,75,0.16268980477223427
440,2001,Family,17,0.0368763557483731
441,2001,Fantasy,16,0.03470715835140998
442,2001,History,5,0.010845986984815618
443,2001,Horror,11,0.02386117136659436
444,2001,Music,6,0.013015184381778741
445,2001,Romance,52,0.11279826464208242
446,2001,Science Fiction,19,0.04121475054229935
447,2001,Thriller,53,0.11496746203904555
448,2001,War,6,0.013015184381778741
449,2001,Western,2,0.004338394793926247
450,2002,Action,52,0.09848484848484848
451,2002,Adventure,40,0.07575757575757576
452,2002,Comedy,82,0.1553030303030303
453,2002,Crime,34,0.06439393939393939
454,2002,Drama,113,0.21401515151515152
455,2002,Family,27,0.05113636363636364
456,2002,Fantasy,14,0.026515151515151516
457,2002,History,9,0.017045454545454544
458,2002,Horror,16,0.030303030303030304
459,2002,Music,5,0.00946969696969697
460,2002,Romance,46,0.08712121212121213
461,2002,Science Fiction,18,0.03409090909090909
462,2002,Thriller,65,0.12310606060606061
463,2002,War,6,0.011363636363636364
464,2002,Western,1,0.001893939393939394
465,2003,Action,42,0.105
466,2003,Adventure,28,0.07
467,2003,Comedy,72,0.18
468,2003,Crime,32,0.08
469,2003,Drama,72,0.18
470,2003,Family,18,0.045
471,2003,Fantasy,15,0.0375
472,2003,History,7,0.0175
473,2003,Horror,12,0.03
474,2003,Music,7,0.0175
475,2003,Romance,27,0.0675
476,2003,Science Fiction,15,0.0375
477,2003,Thriller,46,0.115
478,2003,War,5,0.0125
479,2003,Western,2,0.005
480,2004,Action,41,0.0876068376068376
481,2004,Adventure,32,0.06837606837606838
482,2004,Comedy,82,0.1752136752136752
483,2004,Crime,23,0.049145299145299144
484,2004,Drama,101,0.21581196581196582
485,2004,Family,23,0.049145299145299144
486,2004,Fantasy,16,0.03418803418803419
487,2004,History,6,0.01282051282051282
488,2004,Horror,14,0.029914529914529916
489,2004,Music,10,0.021367521367521368
490,2004,Romance,45,0.09615384615384616
491,2004,Science Fiction,20,0.042735042735042736
492,2004,Thriller,47,0.10042735042735043
493,2004,War,6,0.01282051282051282
494,2004,Western,2,0.004273504273504274
495,2005,Action,48,0.09108159392789374
496,2005,Adventure,37,0.07020872865275142
497,2005,Comedy,82,0.1555977229601518
498,2005,Crime,29,0.05502846299810247
499,2005,Drama,115,0.21821631878557876
500,2005,Family,31,0.058823529411764705
501,2005,Fantasy,20,0.03795066413662239
502,2005,History,11,0.020872865275142316
503,2005,Horror,25,0.04743833017077799
504,2005,Music,6,0.011385199240986717
505,2005,Romance,49,0.09297912713472485
506,2005,Science Fiction,14,0.026565464895635674
507,2005,Thriller,52,0.09867172675521822
508,2005,War,6,0.011385199240986717
509,2005,Western,2,0.003795066413662239
510,2006,Action,50,0.0880281690140845
511,2006,Adventure,34,0.05985915492957746
512,2006,Comedy,90,0.15845070422535212
513,2006,Crime,34,0.05985915492957746
514,2006,Drama,133,0.23415492957746478
515,2006,Family,35,0.061619718309859156
516,2006,Fantasy,25,0.04401408450704225
517,2006,History,8,0.014084507042253521
518,2006,Horror,20,0.035211267605633804
519,2006,Music,7,0.01232394366197183
520,2006,Romance,46,0.08098591549295775
521,2006,Science Fiction,18,0.03169014084507042
522,2006,Thriller,58,0.10211267605633803
523,2006,War,9,0.01584507042253521
524,2006,Western,1,0.0017605633802816902
525,2007,Action,44,0.0962800875273523
526,2007,Adventure,25,0.05470459518599562
527,2007,Comedy,67,0.14660831509846828
528,2007,Crime,28,0.061269146608315096
529,2007,Drama,97,0.212253829321663
530,2007,Family,20,0.0437636761487965
531,2007,Fantasy,19,0.04157549234135667
532,2007,History,9,0.019693654266958426
533,2007,Horror,27,0.05908096280087528
534,2007,Music,11,0.024070021881838075
535,2007,Romance,37,0.08096280087527352
536,2007,Science Fiction,13,0.028446389496717725
537,2007,Thriller,53,0.11597374179431072
538,2007,War,2,0.00437636761487965
539,2007,Western,5,0.010940919037199124
540,2008,Action,46,0.08679245283018867
541,2008,Adventure,37,0.06981132075471698
542,2008,Comedy,82,0.15471698113207547
543,2008,Crime,33,0.062264150943396226
544,2008,Drama,106,0.2
545,2008,Family,29,0.05471698113207547
546,2008,Fantasy,20,0.03773584905660377
547,2008,History,13,0.024528301886792454
548,2008,Horror,21,0.03962264150943396
549,2008,Music,10,0.018867924528301886
550,2008,Romance,38,0.07169811320754717
551,2008,Science Fiction,27,0.0509433962264151
552,2008,Thriller,55,0.10377358490566038
553,2008,War,11,0.020754716981132074
554,2008,Western,2,0.0037735849056603774
555,2009,Action,51,0.0865874363327674
556,2009,Adventure,36,0.06112054329371817
557,2009,Comedy,97,0.16468590831918506
558,2009,Crime,32,0.05432937181663837
559,2009,Drama,122,0.2071307300509338
560,2009,Family,28,0.04753820033955857
561,2009,Fantasy,22,0.03735144312393888
562,2009,History,8,0.013582342954159592
563,2009,Horror,30,0.050933786078098474
564,2009,Music,11,0.01867572156196944
565,2009,Romance,57,0.0967741935483871
566,2009,Science Fiction,32,0.05432937181663837
567,2009,Thriller,59,0.100169779286927
568,2009,War,4,0.006791171477079796
8,2009,Western,0,0.0
569,2010,Action,49,0.09262759924385633
570,2010,Adventure,30,0.05671077504725898
571,2010,Comedy,87,0.16446124763705103
572,2010,Crime,30,0.05671077504725898
573,2010,Drama,115,0.21739130434782608
574,2010,Family,29,0.054820415879017016
575,2010,Fantasy,21,0.03969754253308128
576,2010,History,8,0.015122873345935728
577,2010,Horror,27,0.05103969754253308
578,2010,Music,2,0.003780718336483932
579,2010,Romance,45,0.08506616257088846
580,2010,Science Fiction,19,0.035916824196597356
581,2010,Thriller,56,0.10586011342155009
582,2010,War,6,0.011342155009451797
583,2010,Western,5,0.00945179584120983
584,2011,Action,58,0.11394891944990176
585,2011,Adventure,32,0.06286836935166994
586,2011,Comedy,82,0.16110019646365423
587,2011,Crime,24,0.047151277013752456
588,2011,Drama,99,0.1944990176817289
589,2011,Family,28,0.0550098231827112
590,2011,Fantasy,15,0.029469548133595286
591,2011,History,8,0.015717092337917484
592,2011,Horror,24,0.047151277013752456
593,2011,Music,5,0.009823182711198428
594,2011,Romance,30,0.05893909626719057
595,2011,Science Fiction,26,0.05108055009823183
596,2011,Thriller,69,0.13555992141453832
597,2011,War,6,0.011787819253438114
598,2011,Western,3,0.005893909626719057
599,2012,Action,43,0.09409190371991247
600,2012,Adventure,25,0.05470459518599562
601,2012,Comedy,80,0.175054704595186
602,2012,Crime,27,0.05908096280087528
603,2012,Drama,79,0.17286652078774617
604,2012,Family,17,0.037199124726477024
605,2012,Fantasy,19,0.04157549234135667
606,2012,History,4,0.0087527352297593
607,2012,Horror,33,0.07221006564551423
608,2012,Music,7,0.015317286652078774
609,2012,Romance,39,0.08533916849015317
610,2012,Science Fiction,22,0.04814004376367615
611,2012,Thriller,58,0.12691466083150985
612,2012,War,2,0.00437636761487965
613,2012,Western,2,0.00437636761487965
614,2013,Action,56,0.11045364891518737
615,2013,Adventure,36,0.07100591715976332
616,2013,Comedy,71,0.14003944773175542
617,2013,Crime,37,0.07297830374753451
618,2013,Drama,110,0.21696252465483234
619,2013,Family,22,0.04339250493096647
620,2013,Fantasy,21,0.04142011834319527
621,2013,History,8,0.015779092702169626
622,2013,Horror,25,0.04930966469428008
623,2013,Music,12,0.023668639053254437
624,2013,Romance,25,0.04930966469428008
625,2013,Science Fiction,27,0.05325443786982249
626,2013,Thriller,53,0.10453648915187377
627,2013,War,3,0.005917159763313609
628,2013,Western,1,0.0019723865877712033
629,2014,Action,54,0.10909090909090909
630,2014,Adventure,37,0.07474747474747474
631,2014,Comedy,62,0.12525252525252525
632,2014,Crime,27,0.05454545454545454
633,2014,Drama,110,0.2222222222222222
634,2014,Family,23,0.046464646464646465
635,2014,Fantasy,16,0.03232323232323232
636,2014,History,7,0.014141414141414142
637,2014,Horror,21,0.04242424242424243
638,2014,Music,9,0.01818181818181818
639,2014,Romance,24,0.048484848484848485
640,2014,Science Fiction,26,0.052525252525252523
641,2014,Thriller,66,0.13333333333333333
642,2014,War,10,0.020202020202020204
643,2014,Western,3,0.006060606060606061
644,2015,Action,46,0.10043668122270742
645,2015,Adventure,35,0.07641921397379912
646,2015,Comedy,52,0.11353711790393013
647,2015,Crime,26,0.056768558951965066
648,2015,Drama,95,0.2074235807860262
649,2015,Family,17,0.03711790393013101
650,2015,Fantasy,10,0.021834061135371178
651,2015,History,9,0.019650655021834062
652,2015,Horror,33,0.07205240174672489
653,2015,Music,8,0.017467248908296942
654,2015,Romance,23,0.05021834061135371
655,2015,Science Fiction,28,0.0611353711790393
656,2015,Thriller,67,0.1462882096069869
657,2015,War,2,0.004366812227074236
658,2015,Western,7,0.015283842794759825
659,2016,Action,39,0.16595744680851063
660,2016,Adventure,23,0.09787234042553192
661,2016,Comedy,26,0.11063829787234042
662,2016,Crime,10,0.0425531914893617
663,2016,Drama,37,0.1574468085106383
664,2016,Family,9,0.03829787234042553
665,2016,Fantasy,13,0.05531914893617021
666,2016,History,6,0.02553191489361702
667,2016,Horror,20,0.0851063829787234
668,2016,Music,1,0.00425531914893617
669,2016,Romance,9,0.03829787234042553
670,2016,Science Fiction,11,0.04680851063829787
671,2016,Thriller,27,0.1148936170212766
672,2016,War,3,0.01276595744680851
673,2016,Western,1,0.00425531914893617
659,2017,Action,39,0.16595744680851063
660,2017,Adventure,23,0.09787234042553192
661,2017,Comedy,26,0.11063829787234042
662,2017,Crime,10,0.0425531914893617
663,2017,Drama,37,0.1574468085106383
664,2017,Family,9,0.03829787234042553
665,2017,Fantasy,13,0.05531914893617021
666,2017,History,6,0.02553191489361702
667,2017,Horror,20,0.0851063829787234
668,2017,Music,1,0.00425531914893617
669,2017,Romance,9,0.03829787234042553
670,2017,Science Fiction,11,0.04680851063829787
671,2017,Thriller,27,0.1148936170212766
672,2017,War,3,0.01276595744680851
673,2017,Western,1,0.00425531914893617
